management,monitor,target,people,lemp_firm,export,competition,ownership,mne_country,mne_f,mne_d,degree_m,degree_nm,country,sic
3.7222223,3.5999999,4,3.6666667,5.2983174,,,,,0,0,,,United States,28
4.1111112,4.1999998,4.4000001,3.6666667,5.521461,,10,Dispersed Shareholders,,0,0,100,5,United States,28
3.2777777,3.5999999,3,3.1666667,6.3044486,,,,,0,0,,,United States,27
2.5,2.8,2.2,2.3333333,6.2146082,,,,,0,0,,,United States,36
4.4444447,4.4000001,4.5999999,4.1666665,4.7874918,,,,,0,0,,,United States,38
4.7222223,5,4.5999999,4.5,4.9052749,,10,Dispersed Shareholders,US,0,1,90,50,United States,38
3.5555556,4,3,3.6666667,4.7184987,50,10,Dispersed Shareholders,US,0,1,100,50,United States,38
3.5,3,3.5999999,3.75,8.1942291,,,,,0,0,,,United States,38
3.3888888,3.5999999,3.4000001,3.1666667,8.3428402,,5,Private Equity,US,0,1,50,15,United States,38
2,1.6,1.5,2.4000001,4.7957907,,,,,0,0,,,United States,38
3.1111112,3.5999999,3,2.6666667,5.521461,,10,Dispersed Shareholders,US,0,1,66,5,United States,38
3.5,3.8,3.2,3.3333333,4.9052749,,,,,0,0,,,United States,38
3.5294118,4,3.5999999,3.1666667,8.0709057,,,,,0,0,,,United States,39
3.9444444,4,4.1999998,3.6666667,8.2687321,,,,,0,0,,,United States,39
4.2222223,4.4000001,4.8000002,3.5,7.6009026,,,Dispersed Shareholders,US,0,1,,,United States,35
3.3888888,3.5999999,3.5999999,2.8333333,7.6009026,,,Dispersed Shareholders,US,0,1,,,United States,35
3.0555556,3.2,3,2.6666667,8.0063677,,10,Dispersed Shareholders,US,0,1,95,25,United States,35
3.9444444,4.4000001,3.5999999,4,7.6009026,30,5,Dispersed Shareholders,US,0,1,91,40,United States,35
3.4705882,3.5999999,3.2,3.5999999,5.7300997,,,Founder,US,0,1,,,United States,36
2.9444444,3,2.8,3.1666667,5.9135032,,6,Private Equity,US,0,1,100,60,United States,36
3.0555556,3.2,2.8,3,6.6200733,40,10,Private Equity,US,0,1,100,85,United States,36
3.2777777,4,3.2,2.8333333,5.857933,,,,,0,0,,,United States,20
3.2777777,4,3.2,2.8333333,5.857933,,,,,0,0,,,United States,20
3.6111112,4.1999998,3.4000001,3.3333333,7.7832241,,,,,0,0,,,United States,33
2.1111112,1.4,2.8,2.1666667,8.3659048,,,,,0,0,,,United States,34
3.7777777,4,3,4.1666665,7.6009026,,10,Dispersed Shareholders,Australia,1,0,90,,United States,34
3.3888888,3.2,3.8,3.3333333,8.0063677,10,10,Dispersed Shareholders,Australia,1,0,70,20,United States,34
3.0588236,2.5999999,3.5999999,3,5.4595857,,,,,0,0,,,United States,36
3.9444444,3.5999999,4.4000001,4,5.2983174,,,,,0,0,,,United States,35
4.0555553,4.1999998,3.5999999,4.1666665,8.3546743,,,,,0,0,,,United States,28
4.5,4.5999999,4.5999999,4.3333335,8.3546743,,,,,0,0,,,United States,28
4.2222223,4.4000001,4.4000001,4.1666665,8.2940493,,5,Dispersed Shareholders,US,0,1,100,40,United States,28
4.5555553,5,3.8,4.8333335,8.2940493,60,7,Dispersed Shareholders,US,0,1,100,10,United States,28
3,2.4000001,2.8,3.5,6.3044486,,,,,0,0,,,United States,27
3.4444444,3.8,3.5999999,3,5.7620516,,,,,0,0,,,United States,37
2.6666667,2.4000001,2.5999999,2.8333333,6.9077554,,7,Private Individuals,,0,0,50,10,United States,37
2.5555556,2.5999999,3.2,1.8333334,7.3132205,,,,,0,0,,,United States,26
3.8333333,4,3.5999999,3.8333333,5.2983174,,,,,0,0,,,United States,36
3.7777777,4.4000001,3.4000001,3.1666667,5.2983174,,,,,0,0,,,United States,36
4.1666665,4.8000002,3.8,3.6666667,5.7037826,,10,Dispersed Shareholders,US,0,1,95,10,United States,36
3.6111112,3.5999999,4.1999998,3.3333333,5.521461,,,,,0,0,,,United States,38
3.4444444,3,4,3.3333333,5.857933,,5,Dispersed Shareholders,,0,0,99,0,United States,38
4.1666665,4.4000001,4,4.1666665,6.4769726,,,,,0,0,,,United States,32
3,3,2.8,2.8333333,4.7874918,,,,,0,0,,,United States,38
4.3888888,4.1999998,4.5999999,4.1666665,4.7874918,,,,,0,0,,,United States,38
4.2777777,4.1999998,4.4000001,4.1666665,6.0520892,,,,,0,0,,,United States,28
3.2222223,3,3.4000001,3.3333333,8.227108,,,,,0,0,,,United States,28
2.8888888,3,3.4000001,2.5,8.2940493,,10,Dispersed Shareholders,US,0,1,100,10,United States,28
2.3333333,2.2,2.4000001,2.5,5.5012584,,,,,0,0,,,United States,34
3.2222223,2.5999999,3.4000001,3.6666667,6.5510802,,,,,0,0,,,United States,30
4.1666665,4.4000001,4.1999998,4.1666665,5.3936276,,,,,0,0,,,United States,20
3,2.5999999,3.2,2.8333333,6.1092477,,,,,0,0,,,United States,38
4.5555553,5,3.8,4.8333335,5.4722705,,,,,0,0,,,United States,35
3,3.4000001,3,2.3333333,5.4722705,,,,,0,0,,,United States,35
3.2777777,3.8,2.8,2.8333333,8.2940493,,10,Dispersed Shareholders,US,0,1,67,20,United States,35
3,3.5999999,3.2,2.5,7.3132205,,10,Dispersed Shareholders,US,0,1,90,3,United States,35
4,5,3.5999999,3.1666667,8.0063677,5,4,Dispersed Shareholders,US,0,1,95,10,United States,35
3.2941177,4,3,3,5.521461,,,Other,,0,0,80,40,United States,36
1.9444444,2.2,2,2,5.220356,,,,,0,0,,,United States,33
3.6666667,3.4000001,3.5999999,4,6.9077554,,,,,0,0,,,United States,33
3.6666667,4.1999998,3.8,2.8333333,8.3893595,,10,Dispersed Shareholders,US,0,1,100,25,United States,33
2.9444444,3.8,2.4000001,2.6666667,6.3969297,,10,Dispersed Shareholders,US,0,1,100,10,United States,36
4.4444447,4.4000001,4.5999999,4.1666665,4.6051702,,,,,0,0,,,United States,38
3.6666667,3.5999999,3.5999999,3.3333333,4.6051702,,,,,0,0,,,United States,38
3.1666667,3.4000001,2.2,3.1666667,8.0063677,,3,Private Equity,,0,0,85,12,United States,38
2.7058823,2.25,3.5999999,2.8333333,7.0900769,,,,,0,0,,,United States,20
2.9444444,3.2,3.4000001,2.3333333,5.1474943,,,,,0,0,,,United States,27
3,3.8,3,2.6666667,7.1701198,,5,Dispersed Shareholders,,0,0,50,5,United States,27
3.0555556,3.8,2.8,2.8333333,7.0900769,1,5,Dispersed Shareholders,,0,0,50,7,United States,27
3.6111112,3.8,4.5999999,3.5,6.9077554,,,,,0,0,,,United States,36
3.2222223,3.2,3.5999999,2.8333333,7.2442274,,10,Dispersed Shareholders,US,0,1,70,10,United States,36
2.8888888,4,2.5999999,2,4.8675346,,,,,0,0,,,United States,35
2.2777777,3.5999999,1.4,2.3333333,5.857933,,,,,0,0,,,United States,23
2.6111112,2.8,2,2.8333333,5.1647859,,8,Dispersed Shareholders,US,0,1,100,75,United States,38
2.7777777,2.2,2.2,3.3333333,5.7525725,,,,,0,0,,,United States,39
3.6111112,3.4000001,4,3.3333333,5.7525725,,,,,0,0,,,United States,39
2.8888888,3,3,2.6666667,6.2915692,,10,Dispersed Shareholders,US,0,1,75,40,United States,39
3.4444444,3.8,3.2,3.5,5.32301,,,,,0,0,,,United States,28
4.5555553,5,4.5999999,4,7.3105502,,,,,0,0,,,United States,38
4.7222223,5,4.8000002,4.5,6.9077554,,10,Dispersed Shareholders,UK,1,0,95,35,United States,38
4.5,4.8000002,4.4000001,4.1666665,8.2940493,30,10,Private Individuals,US,0,1,100,5,United States,38
4.0555553,3.8,4.4000001,4,4.8040209,,,,,0,0,,,United States,35
2.3888888,2.8,2.5999999,2.1666667,5.9914646,,,,,0,0,,,United States,28
2.8333333,2.5999999,2.5999999,3.5,5.2983174,,,,,0,0,,,United States,22
3.3333333,3.4000001,3.5999999,3.3333333,5.521461,,,,,0,0,,,United States,38
4.6111112,4.4000001,4.5999999,4.8333335,5.857933,,,,,0,0,,,United States,35
3.6111112,3.8,3.8,3.5,6.6200733,,10,Dispersed Shareholders,US,0,1,100,5,United States,35
4.3333335,4.8000002,4,4.3333335,4.7004805,,,,,0,0,,,United States,38
3.3888888,3.8,3.5999999,3.6666667,5.3659759,,,,,0,0,,,United States,39
2,1.4,2.5999999,2.3333333,4.6051702,,,,,0,0,,,United States,34
2.7777777,3.2,2.5999999,2.8333333,4.8675346,,10,Dispersed Shareholders,,0,0,20,5,United States,38
3.6666667,4.5999999,3,3.3333333,5.5606818,,,,,0,0,,,United States,36
3.1111112,3.4000001,2.8,2.8333333,5.9269261,,4,Dispersed Shareholders,US,0,1,75,50,United States,36
3.6666667,4,3.8,3.1666667,5.4380794,,,,,0,0,,,United States,38
2.6666667,3.2,2.5999999,2.3333333,5.4380794,,6,Dispersed Shareholders,,0,0,,,United States,38
2.6666667,2.5999999,3,2.3333333,6.2146082,15,3,Dispersed Shareholders,,0,0,60,0,United States,38
4.2222223,4.5999999,4,4,6.3456364,,,,,0,0,,,United States,36
4,4.4000001,3.5999999,3.8333333,5.4595857,,3,Dispersed Shareholders,US,0,1,100,20,United States,36
3.1764705,3.25,3.2,3.1666667,6.251904,,,,,0,0,,,United States,36
3.3333333,4.4000001,2.4000001,2.8333333,5.0106354,,,,,0,0,,,United States,39
3.2777777,3.5999999,3.4000001,2.8333333,6.9077554,,5,Dispersed Shareholders,US,0,1,40,10,United States,39
3.1111112,3.8,3.4000001,2.1666667,7.7621708,,,,,0,0,,,United States,36
3.5294118,4.25,3.2,3.5,5.857933,,,,,0,0,,,United States,36
3.3888888,3.4000001,3.2,3.6666667,5.857933,,,,,0,0,,,United States,35
2.3888888,2.4000001,2.5999999,2.3333333,5.7037826,,5,Dispersed Shareholders,,0,0,90,15,United States,35
3,3.4000001,3,2.8333333,4.9052749,,,,,0,0,,,United States,35
2.3333333,3.4000001,2.2,1.8333334,4.7004805,,5,Private Individuals,US,0,1,90,50,United States,35
3.1111112,3.5999999,3.2,3,4.6249728,,3,Private Individuals,US,0,1,90,5,United States,35
3.8333333,4.1999998,3.2,3.8333333,6.5510802,,,,,0,0,,,United States,37
3,3.2,3,2.5,6.8875527,,6,Dispersed Shareholders,,0,0,10,0,United States,37
3.6111112,4.1999998,3.5999999,3.3333333,5.857933,0,10,Private Individuals,,0,0,2,0,United States,37
3.9444444,4,3.5999999,4,5.9295893,,,,,0,0,,,United States,34
2.8,3.5999999,2.5999999,2.5,6.1092477,,10,Dispersed Shareholders,,0,0,10,10,United States,34
3.1111112,3.4000001,3.5999999,2.6666667,5.521461,,,Dispersed Shareholders,US,0,1,100,25,United States,28
2.8235295,3,2.8,2.8,5.1416636,,,,,0,0,,,United States,26
2.6111112,3.4000001,2,2.6666667,8.0734034,,,,,0,0,,,United States,32
2.5555556,2.8,2.2,2.6666667,8.1391487,,6,Dispersed Shareholders,,0,0,0,0,United States,32
2.6666667,2.8,2.2,2.6666667,5.0106354,,,,,0,0,,,United States,30
3.9444444,4.5999999,3.5999999,3.3333333,6.0234475,,,,,0,0,,,United States,37
2.5555556,2.5999999,2.5999999,2.5,7.8632669,,,,,0,0,,,United States,36
3.3888888,4.5999999,3.2,2.5,7.7406645,,10,Dispersed Shareholders,US,0,1,50,10,United States,36
4.5,4.8000002,4.5999999,4.3333335,8.2940493,,5,Dispersed Shareholders,US,0,1,100,20,United States,35
3.2777777,3.8,3.5999999,2.3333333,8.1605186,70,8,Dispersed Shareholders,US,0,1,100,10,United States,35
2.6111112,3.2,1.4,3.1666667,5.7004437,,,,,0,0,,,United States,35
3.3333333,3.4000001,3.2,3.3333333,6.2146082,,6,Dispersed Shareholders,US,0,1,50,20,United States,35
3.1764705,3.25,3.2,3.3333333,7.0900769,,,,,0,0,,,United States,35
3.6111112,4,3.2,3.6666667,7.0900769,,,,,0,0,,,United States,35
4.3888888,4.4000001,4.1999998,4.5,7.6009026,,,Dispersed Shareholders,US,0,1,,,United States,37
4.3888888,4.8000002,3.5999999,4.5,7.6009026,,,Dispersed Shareholders,US,0,1,,,United States,37
3.6111112,4,3.2,3.8333333,7.7406645,,1,Dispersed Shareholders,US,0,1,95,10,United States,37
3.8333333,4.1999998,2.4000001,4.6666665,7.7406645,,10,Dispersed Shareholders,US,0,1,100,50,United States,37
3.6666667,3.5999999,3.4000001,3.5,7.8632669,70,1,Dispersed Shareholders,US,0,1,95,10,United States,37
2.8333333,2.8,3,2.6666667,6.3969297,,,Dispersed Shareholders,US,0,1,,,United States,36
3.5,3.5999999,3.5999999,3.3333333,5.1647859,,,,,0,0,,,United States,35
3.2222223,3,3.4000001,3.3333333,5.3936276,,,,,0,0,,,United States,34
3.4444444,3.4000001,3.4000001,3.3333333,6.6200733,,,,,0,0,,,United States,35
2.7222223,3.2,2.2,3.3333333,5.7037826,,,,,0,0,,,United States,34
2.7777777,3.2,2.4000001,2.6666667,5.521461,,5,Dispersed Shareholders,,0,0,100,15,United States,34
3.5999999,3.2,3.5999999,4,5.9914646,,,,,0,0,,,United States,20
4.1666665,4.8000002,3.4000001,4.1666665,6.7569323,,6,Founder,,0,0,50,25,United States,20
2.625,3.5999999,2,3,5.6664267,,,,,0,0,,,United States,28
2.7222223,3.2,2.8,2.8333333,6.2146082,,6,Dispersed Shareholders,,0,0,100,100,United States,28
4.3888888,4.8000002,4.1999998,4,4.6051702,,,,,0,0,,,United States,36
3.6111112,3.8,3.8,3.3333333,4.7004805,,5,Private Individuals,,0,0,75,2,United States,36
2.5555556,2.5999999,2.8,2.1666667,5.0106354,,,,,0,0,,,United States,20
2.6666667,3.2,2.4000001,2.5,8.1605186,,5,"Family owned, family CEO",US,0,1,25,5,United States,20
3.2777777,3.8,2.8,3.1666667,7.4383836,,,,,0,0,,,United States,23
2.6666667,3.4000001,2.2,2.8333333,8.3187418,,2,Dispersed Shareholders,,0,0,50,0,United States,23
3.7222223,3.5999999,3.5999999,3.8333333,5.7037826,,,,,0,0,,,United States,34
3.1666667,3.5999999,3.2,2.6666667,5.521461,,5,Private Equity,US,0,1,10,10,United States,34
4.5555553,4.8000002,4.4000001,4.5,4.6051702,,,,,0,0,,,United States,35
3.7777777,4,3.5999999,3.6666667,7.6962128,,6,Dispersed Shareholders,US,0,1,100,50,United States,35
4.3888888,4.5999999,4,4.3333335,7.0900769,40,6,Dispersed Shareholders,US,0,1,100,30,United States,35
3.6666667,3.8,3.4000001,3.8333333,5.9914646,,,,,0,0,,,United States,38
3.3333333,3.5999999,2.4000001,3.8333333,6.6846118,,10,Dispersed Shareholders,US,0,1,65,40,United States,38
2.0555556,1.6,1.4,2.3333333,5.267858,,,Private Individuals,,0,0,,,United States,24
2.1666667,2.5999999,1.8,2.5,5.0751739,,10,Private Individuals,,0,0,100,30,United States,24
3.6111112,4,3.5999999,3.5,4.7004805,5,3,Private Individuals,,0,0,100,10,United States,24
2.9444444,3.4000001,2.4000001,2.8333333,6.9077554,,,,,0,0,,,United States,28
2.5555556,2.2,2.4000001,2.8333333,6.5510802,,10,Dispersed Shareholders,US,0,1,20,0,United States,28
3,3.4000001,3.2,2.6666667,7.3460102,,0,Dispersed Shareholders,US,0,1,50,5,United States,28
3.1111112,2.8,2.8,3.6666667,6.9077554,,,,,0,0,,,United States,28
3.3888888,3.4000001,3.5999999,3.3333333,7.6009026,,,,,0,0,,,United States,36
3.3888888,3.5999999,3.5999999,2.8333333,7.6009026,,3,Dispersed Shareholders,US,0,1,100,20,United States,36
3.6111112,3.5999999,3,4.1666665,5.521461,,,"Family owned, family CEO",,0,0,20,0,United States,33
3.2222223,3.4000001,3.4000001,2.8333333,6.3969297,,,,,0,0,,,United States,22
4.2777777,4.4000001,4.8000002,3.6666667,6.3969297,,,,,0,0,,,United States,22
3.5555556,4,3.8,3.1666667,8.4914646,,6,Dispersed Shareholders,US,0,1,60,30,United States,22
2.4444444,2.8,3,2.1666667,8.4914646,,10,Dispersed Shareholders,US,0,1,70,30,United States,22
2.6666667,2.4000001,2.4000001,3,7.0475173,,3,Dispersed Shareholders,Netherlands,1,0,92,24,United States,38
2.7777777,3,2.2,3,7.3132205,,,,,0,0,,,United States,34
2.6666667,2,2.5999999,3,7.3132205,,5,Dispersed Shareholders,US,0,1,50,1,United States,34
4.3333335,5,4,3.8333333,6.6200733,,,,,0,0,,,United States,36
3.3333333,3.4000001,3.4000001,3.1666667,6.8023949,,,,,0,0,,,United States,35
3.5555556,3.5999999,3.4000001,3.5,5.9401712,,2,Dispersed Shareholders,US,0,1,95,50,United States,35
4.3888888,4.4000001,4.4000001,4.3333335,7.0030656,,,,,0,0,,,United States,38
3.4444444,4.4000001,3.4000001,2.6666667,6.6846118,,10,Dispersed Shareholders,,0,0,,,United States,38
2.5,2.5999999,2.4000001,2.3333333,5.9914646,,,,,0,0,,,United States,35
3.4444444,3.8,2.4000001,3.8333333,7.7621708,,10,Dispersed Shareholders,US,0,1,,,United States,35
2.6111112,2.2,3,3.1666667,5.2983174,,,,,0,0,,,United States,38
3.6111112,4,3.2,3.5,5.9914646,,5,Dispersed Shareholders,US,0,1,95,50,United States,38
3.1666667,3.5999999,3,2.6666667,5.9914646,20,5,Dispersed Shareholders,,0,0,95,30,United States,38
2.2777777,2.8,1.6,2.8333333,5.7960577,,,,,0,0,,,United States,30
3.4444444,3.8,3.4000001,3.1666667,5.3936276,,,,,0,0,,,United States,36
3.2777777,2.8,3.4000001,3.6666667,7.377759,,,,,0,0,,,United States,35
4,4,4,4,7.0900769,85,6,Dispersed Shareholders,,0,0,90,30,United States,35
3.1666667,3.4000001,3.2,3,4.6051702,,,,,0,0,,,United States,38
3.2777777,3.8,3,3.1666667,4.6051702,,,,,0,0,,,United States,38
4.2222223,4,3.8,4.5,4.7874918,,,,,0,0,,,United States,38
3.2222223,3.2,3.2,3.1666667,6.9077554,,,,,0,0,,,United States,35
2.7222223,3.5999999,2.5999999,2.3333333,6.9077554,,,,,0,0,,,United States,35
3.8333333,4,4,3.3333333,5.521461,,,,,0,0,,,United States,35
3.1666667,3,3.5999999,2.8333333,7.495542,,6,Dispersed Shareholders,US,0,1,100,50,United States,35
3,3.5999999,2.5999999,2.8333333,7.791523,0,7,Dispersed Shareholders,US,0,1,95,2,United States,35
4.352941,4.75,4.4000001,4.1666665,5.9914646,,,,,0,0,,,United States,38
4.2777777,4.4000001,4.4000001,4,5.9914646,,,,,0,0,,,United States,38
3.2777777,3.8,3.2,3.6666667,5.7037826,,,,,0,0,,,United States,38
2.3888888,2.4000001,3,2.3333333,5.8861041,,2,Dispersed Shareholders,,0,0,95,5,United States,38
3.3888888,3.5999999,3.2,3.5,5.7037826,25,10,Dispersed Shareholders,,0,0,100,50,United States,38
3.1764705,3.5,3,3.5,6.2146082,,,,,0,0,,,United States,35
3.8888888,4,3.5999999,4,6.2146082,,,,,0,0,,,United States,35
3.3333333,3.8,3.5999999,3,5.9914646,,10,Dispersed Shareholders,US,0,1,80,,United States,35
3.6666667,4,3.2,3.6666667,5.5984221,,,,,0,0,,,United States,36
3.2777777,3.8,2.8,3.3333333,5.1929569,,5,Founder,,0,0,100,50,United States,36
4.6666665,4.4000001,4.8000002,4.6666665,5.9914646,,,,,0,0,,,United States,30
4.2352943,4.8000002,4.1999998,3.5999999,5.857933,,10,Dispersed Shareholders,US,0,1,50,5,United States,30
2.8888888,2.5999999,2.5999999,3,6.856462,,,,,0,0,,,United States,37
3.1666667,3.5999999,3.4000001,2.5,7.5755849,,3,Dispersed Shareholders,US,0,1,50,5,United States,37
2.7222223,2.5999999,2.4000001,2.8333333,7.1639466,,,,,0,0,,,United States,38
4,3.8,4,4.3333335,8.2940493,,,,,0,0,,,United States,20
3.7222223,4.1999998,3.8,3.3333333,8.4118328,,4,Dispersed Shareholders,US,0,1,25,5,United States,20
2.7777777,3.2,2.8,3,5.0751739,,,Private Individuals,,0,0,,,United States,28
3.2222223,3.5999999,3.4000001,2.8333333,5.2983174,,10,Private Individuals,,0,0,95,,United States,28
3.5,3.8,3,3.8333333,5.3936276,0,10,Dispersed Shareholders,,0,0,85,30,United States,28
3.3888888,3.4000001,3.4000001,3.3333333,5.521461,,,,,0,0,,,United States,38
2.5555556,2.2,2.8,2.5,5.857933,,2,Dispersed Shareholders,,0,0,100,90,United States,38
3.2777777,3.4000001,2.5999999,3.8333333,5.857933,60,2,Dispersed Shareholders,,0,0,100,90,United States,38
2.1111112,2.2,2.8,1.8333334,7.2348986,,,,,0,0,,,United States,28
2,1.8,1.6,2.8333333,4.7004805,,,,,0,0,,,United States,24
2.6666667,3,2.5999999,2.6666667,6.2146082,,10,Dispersed Shareholders,,0,0,33,10,United States,24
2.8888888,2.8,3.2,3,5.2781148,,,,,0,0,,,United States,38
2.9444444,3.4000001,2.8,3.1666667,5.7037826,,3,Dispersed Shareholders,,0,0,100,5,United States,38
3.1111112,3.4000001,3.4000001,2.6666667,6.7707896,,,,,0,0,,,United States,36
3.6111112,3.8,3,4.1666665,6.5510802,,0,Dispersed Shareholders,Holland,1,0,100,37,United States,36
3.8888888,4.4000001,4,3,6.9077554,50,1,Dispersed Shareholders,UK,1,0,100,50,United States,36
4.2352943,4.25,4.5999999,4.1666665,5.9914646,,,,,0,0,,,United States,35
3.2777777,2.8,3,3.6666667,5.9914646,,,,,0,0,,,United States,35
2.9444444,2.8,2.8,2.8333333,6.6846118,,,,,0,0,,,United States,36
2.3888888,2.4000001,2.2,2.6666667,4.7449322,,,,,0,0,,,United States,33
2.0555556,2.2,2.2,2.1666667,4.9416423,,,,,0,0,,,United States,24
3.1111112,3.4000001,3.2,2.8333333,5.4380794,,,,,0,0,,,United States,29
4.3333335,4.1999998,4.8000002,4,5.9914646,,,,,0,0,,,United States,35
3.3888888,4,3.8,2.5,8.0063677,,7,Dispersed Shareholders,US,0,1,50,0,United States,35
3.7222223,4,3.2,3.8333333,7.6962128,50,5,Dispersed Shareholders,US,0,1,50,4,United States,35
4.4705882,4.8000002,4.8000002,4,6.6846118,,,,,0,0,,,United States,38
4.1111112,4,4.4000001,4,5.220356,,,,,0,0,,,United States,38
4.0555553,3.8,4.1999998,4.5,5.480639,,9,Dispersed Shareholders,US,0,1,50,20,United States,38
3.8888888,4.1999998,3.4000001,4,5.7037826,20,5,Dispersed Shareholders,US,0,1,90,5,United States,38
3.3333333,4.4000001,2.2,3.5,8.2940493,,,Dispersed Shareholders,US,0,1,,,United States,28
3.2222223,3.8,3.2,3,7.6009026,,4,Dispersed Shareholders,US,0,1,80,5,United States,28
3.3333333,4,3.8,3.1666667,5.9914646,15,4,Private Equity,US,0,1,85,25,United States,28
2.8823528,2.5,3,3.1666667,4.6051702,,,,,0,0,,,United States,36
2.4444444,2.2,2.2,2.8333333,4.6051702,,,,,0,0,,,United States,36
2.6470587,3,2.2,2.8333333,8.0063677,,,,,0,0,,,United States,33
4.1111112,4.5999999,4.4000001,3.3333333,5.0106354,,,,,0,0,,,United States,35
